epoch,acc,fmeasure,loss,lr,precision,recall
0,0.5764331202598134,0.7310691027884271,6.827091964187136,0.0025,0.5764331202598134,1.0
1,0.5764331168429867,0.7312496289326127,6.827091939889701,0.0025,0.5764331168429867,1.0
2,0.5764331202598134,0.7312040750388127,6.827090992289744,0.0025,0.5764331202598134,1.0
3,0.5764331187412237,0.7302965028270795,6.827091709064071,0.0025,0.5764331187412237,1.0
4,0.5764331240562877,0.7310724250829903,6.827092933047349,0.0025,0.5764331240562877,1.0
5,0.5764331259545247,0.7311206801681761,6.827093267137078,0.0025,0.5764331259545247,1.0
6,0.5764331187412237,0.7312687160862479,6.827092680961463,0.0025,0.5764331187412237,1.0
7,0.5764331168429867,0.7307935660811746,6.827091745510223,0.0025,0.5764331168429867,1.0
8,0.5764331183615764,0.7311541912661996,6.827091028735896,0.0025,0.5764331183615764,1.0
9,0.5764331168429867,0.7310786478838344,6.827094466822921,0.0025,0.5764331168429867,1.0
10,0.5764331202598134,0.7312040750388127,6.827090992289744,0.0025,0.5764331202598134,1.0
11,0.5764331206394608,0.7311410478725555,6.827093172984518,0.0025,0.5764331206394608,1.0
12,0.5764331259545247,0.7313113421391529,6.827090740203857,0.0025,0.5764331259545247,1.0
13,0.5764331183615764,0.7308057903484174,6.827093750048595,0.0025,0.5764331183615764,1.0
14,0.5764331221580505,0.7310806140778171,6.82709236813199,0.0025,0.5764331221580505,1.0
15,0.5764331206394608,0.7312353219196295,6.827092201087125,0.0025,0.5764331206394608,1.0
16,0.5764331217784031,0.7307614562617746,6.827091493424336,0.0025,0.5764331217784031,1.0
17,0.5764331221580505,0.731144662115984,6.827092562511468,0.0025,0.5764331221580505,1.0
18,0.5764331168429867,0.7309963038772535,6.827094078063965,0.0025,0.5764331168429867,1.0
19,0.5764331168429867,0.7312812884901739,6.8270934949255295,0.0025,0.5764331168429867,1.0
20,0.5764331164633393,0.7310848509430126,6.827092726519154,0.0025,0.5764331164633393,1.0
21,0.5764331244359351,0.7311052342129362,6.827092641478131,0.0025,0.5764331244359351,1.0
22,0.5764331187412237,0.7309279931578666,6.827092680961463,0.0025,0.5764331187412237,1.0
23,0.5764331202598134,0.7311719295325553,6.827091769807658,0.0025,0.5764331202598134,1.0
24,0.5764331164633393,0.7310654129951623,6.8270910651820484,0.0025,0.5764331164633393,1.0
25,0.5764331221580505,0.730568059690439,6.82709236813199,0.0025,0.5764331221580505,1.0
26,0.5764331187412237,0.7312687160862479,6.827091709064071,0.0025,0.5764331187412237,1.0
27,0.5764331168429867,0.7307935660811746,6.827091745510223,0.0025,0.5764331168429867,1.0
28,0.5764331213987557,0.7295551660713876,6.827093251951181,0.0025,0.5764331213987557,1.0
29,0.5764331217784031,0.7301719033034744,6.8270912990448585,0.0025,0.5764331217784031,1.0
30,0.576433119880166,0.7298265099525452,6.827093880647307,0.0025,0.576433119880166,1.0
31,0.5764331206394608,0.7312164671102147,6.827090840430776,0.0025,0.5764331206394608,1.0
32,0.5764331229173454,0.7304255419476017,6.8270922800537885,0.0025,0.5764331229173454,1.0
33,0.5764331202598134,0.7312040750388127,6.827090992289744,0.0025,0.5764331202598134,1.0
34,0.5764331210191083,0.7292259126711803,6.827094825210085,0.0025,0.5764331210191083,1.0
35,0.576433122537698,0.7311808880727002,6.827092854080687,0.0025,0.576433122537698,1.0
36,0.5764331187412237,0.7311551741733673,6.827091709064071,0.0025,0.5764331187412237,1.0
37,0.5764331164633393,0.7307740138594512,6.827093008976833,0.0025,0.5764331164633393,1.0
38,0.576433117981929,0.7304644341681413,6.8270928753409414,0.0025,0.576433117981929,1.0
39,0.576433121208932,0.7299995319858478,6.8270904759692534,0.0025,0.576433121208932,1.0
40,0.5764331164633393,0.7310848509430126,6.827092814597354,0.0025,0.5764331164633393,1.0
41,0.5764331240562877,0.7312765721302883,6.827092933047349,0.0025,0.5764331240562877,1.0
42,0.5764331221580505,0.7304270130813502,6.827092173752511,0.0025,0.5764331221580505,1.0
43,0.5764331244359351,0.7307994995906855,6.827091280821782,0.0025,0.5764331244359351,1.0
44,0.5764331240562877,0.7311426203721648,6.827092349908914,0.0025,0.5764331240562877,1.0
45,0.5764331202598134,0.7312040750388127,6.827091256524347,0.0025,0.5764331202598134,1.0
46,0.5764331206394608,0.7308392737321793,6.827093172984518,0.0025,0.5764331206394608,1.0
47,0.5764331244359351,0.7307058815743513,6.827093807755003,0.0025,0.5764331244359351,1.0
48,0.5764331168429867,0.7312496289326127,6.827091939889701,0.0025,0.5764331168429867,1.0
49,0.5764331263341721,0.7308216596105296,6.827092744742229,0.0025,0.5764331263341721,1.0
50,0.5764331221580505,0.7312727095974478,6.827092562511468,0.0025,0.5764331221580505,1.0
