epoch,acc,fmeasure,loss,lr,precision,recall,val_acc,val_fmeasure,val_loss,val_precision,val_recall
0,0.6065573773040825,0.4433479178232205,0.6551021576692441,0.001,0.5417536071004481,0.4704503119841526,0.7554347826086957,0.7417341047439022,0.5941379398539446,0.693050654038139,0.8282466496246449
1,0.7790449039900379,0.7539752262325178,0.5084611598882859,0.001,0.7847222731271474,0.7509476676508944,0.7336956521739131,0.6368446825207144,0.5339396120845408,0.8149336524631666,0.5367174623669058
2,0.8367783318480168,0.8110605763777272,0.39020067079527754,0.001,0.8273124209235416,0.827324631761332,0.7952898550724637,0.7620827011440111,0.44140712160995044,0.7527112615281257,0.7846499353215315
3,0.8909479690634686,0.8827696145218097,0.2771529343327028,0.001,0.8787413139642347,0.8956714388904449,0.8115942028985508,0.7982571332351022,0.4517649066620979,0.7304938081381978,0.8935411183730416
4,0.9187455449627708,0.9120202788011738,0.19971967461443932,0.001,0.9080573531532832,0.9244262929142838,0.8079710144927537,0.7686091022215028,0.43498804841352545,0.7922487017037212,0.754992303640946
5,0.9536707060556283,0.9473854896007736,0.13557277680378002,0.001,0.9460165536327185,0.9519951163830285,0.8079710144927537,0.7654547242150791,0.5137083070433658,0.7894993916801785,0.7498853327571482
6,0.9693513895814451,0.9653905415993798,0.09800595550645867,0.001,0.9653396973504564,0.9676396675137053,0.8007246376811594,0.7677555706190027,0.5581801229197046,0.7430173037708669,0.8056303608244744
7,0.9807555238774056,0.9798909715474374,0.07108996643041575,0.001,0.9759677375798895,0.9854388396738261,0.802536231884058,0.7616179023963817,0.6272110803781644,0.7733760139216548,0.7618601581324702
8,0.9878831073291287,0.9867808888065586,0.04254700746905014,0.001,0.9880861431381487,0.9859897331603493,0.7934782608695652,0.7569229205449423,0.7435606749917286,0.732764910960543,0.7951529129691746
9,0.9914468995010691,0.9908028043174608,0.030448032370473093,0.001,0.9927232773577581,0.9894945031816588,0.7934782608695652,0.7600148277006288,0.7202041713466895,0.7401029303453971,0.7914864377699037
