epoch,binary_accuracy,fmeasure,loss,precision,recall
0,0.5732484078331358,0.724216253134855,7.046459714318536,0.5784597580979585,0.9861030700100455
1,0.5764331217784031,0.7290818505226426,6.82709142964357,0.5764331217784031,1.0
2,0.5764331217784031,0.7261997374000063,6.827091453941005,0.5764331217784031,1.0
3,0.5764331210191083,0.7276772974403041,6.827091387123059,0.5764331210191083,1.0
4,0.5764331210191083,0.7275356707299591,6.827091447866646,0.5764331210191083,1.0
5,0.5764331206394608,0.7275641997149036,6.827091453941005,0.5764331206394608,1.0
6,0.5764331210191083,0.7282291104079811,6.827091490387157,0.5764331210191083,1.0
7,0.5764331217784031,0.7255705856973198,6.8270913810487,0.5764331217784031,1.0
8,0.5764331213987557,0.7277334488121567,6.827091484312799,0.5764331213987557,1.0
9,0.5764331217784031,0.7257470610035452,6.827091332453831,0.5764331217784031,1.0
10,0.5764331206394608,0.729004014069867,6.827091441792287,0.5764331206394608,1.0
11,0.5764331202598134,0.724044167691735,6.827091405346136,0.5764331202598134,1.0
12,0.5764331213987557,0.726470975359534,6.827091435717929,0.5764331213987557,1.0
13,0.5764331210191083,0.7258811855012444,6.8270913142307545,0.5764331210191083,1.0
14,0.5764331217784031,0.7266080436433197,6.827091417494853,0.5764331217784031,1.0
15,0.5764331208292846,0.7247105464813816,6.827091387123059,0.5764331208292846,1.0
16,0.5764331202598134,0.7283769986432069,6.8270913810487,0.5764331202598134,1.0
17,0.5764331210191083,0.7265152346556354,6.827091350676907,0.5764331210191083,1.0
18,0.5764331210191083,0.7275449979077478,6.827091387123059,0.5764331210191083,1.0
19,0.576433121208932,0.7282379463220098,6.827091441792287,0.576433121208932,1.0
20,0.5764331213987557,0.7291644766072559,6.827091484312799,0.5764331213987557,1.0
21,0.5764331210191083,0.7285262665171532,6.827091472164081,0.5764331210191083,1.0
22,0.5764331213987557,0.72842779584751,6.827091456978184,0.5764331213987557,1.0
23,0.5764331210191083,0.7279378266850854,6.827091441792287,0.5764331210191083,1.0
24,0.5764331217784031,0.7276407089203026,6.827091356751266,0.5764331217784031,1.0
25,0.5764331202598134,0.7277477376020638,6.82709147823844,0.5764331202598134,1.0
26,0.5764331213987557,0.7270940306839669,6.827091408383315,0.5764331213987557,1.0
27,0.5764331202598134,0.7250519159493173,6.827091453941005,0.5764331202598134,1.0
28,0.5764331213987557,0.7278317805308445,6.827091399271777,0.5764331213987557,1.0
29,0.5764331206394608,0.7265660914645833,6.827091460015364,0.5764331206394608,1.0
30,0.5764331210191083,0.7269626764734839,6.827091374974342,0.5764331210191083,1.0
31,0.5764331206394608,0.7272407310024188,6.827091362825625,0.5764331206394608,1.0
32,0.5764331202598134,0.7283150341100754,6.827091405346136,0.5764331202598134,1.0
33,0.5764331202598134,0.726849920051113,6.827091453941005,0.5764331202598134,1.0
34,0.5764331213987557,0.7290174194202301,6.827091362825625,0.5764331213987557,1.0
35,0.5764331217784031,0.7279531040768714,6.8270913810487,0.5764331217784031,1.0
36,0.5764331213987557,0.7266316785933865,6.827091460015364,0.5764331213987557,1.0
37,0.5764331217784031,0.7289364911188745,6.827091332453831,0.5764331217784031,1.0
38,0.5764331210191083,0.7296716521500023,6.82709133852819,0.5764331210191083,1.0
39,0.5764331210191083,0.7280652348402958,6.827091520758951,0.5764331210191083,1.0
40,0.5764331210191083,0.727670955809818,6.827091508610233,0.5764331210191083,1.0
41,0.5764331213987557,0.7254937894784721,6.8270913597884455,0.5764331213987557,1.0
42,0.5764331217784031,0.7290295016993383,6.827091332453831,0.5764331217784031,1.0
43,0.5764331202598134,0.7265832405181447,6.82709142964357,0.5764331202598134,1.0
44,0.5764331206394608,0.7268117894032958,6.827091390160239,0.5764331206394608,1.0
45,0.5764331210191083,0.7276642406062716,6.827091466089723,0.5764331210191083,1.0
46,0.5764331213987557,0.7249724454940505,6.827091554167923,0.5764331213987557,1.0
47,0.5764331217784031,0.7281982226736227,6.8270913810487,0.5764331217784031,1.0
48,0.5764331213987557,0.7283590105688496,6.827091484312799,0.5764331213987557,1.0
49,0.5764331217784031,0.7285040271509985,6.8270913810487,0.5764331217784031,1.0
50,0.576433121208932,0.729482880063877,6.827091417494853,0.576433121208932,1.0
51,0.5764331210191083,0.7287248616005965,6.827091520758951,0.5764331210191083,1.0
52,0.5764331210191083,0.726315131612644,6.827091411420494,0.5764331210191083,1.0
53,0.576433121208932,0.727499410604975,6.82709142964357,0.576433121208932,1.0
54,0.5764331210191083,0.728817727915041,6.827091374974342,0.5764331210191083,1.0
55,0.5764331202598134,0.7269097828561333,6.827091453941005,0.5764331202598134,1.0
56,0.5764331206394608,0.7284461047239364,6.827091390160239,0.5764331206394608,1.0
57,0.5764331213987557,0.7288494056956784,6.827091460015364,0.5764331213987557,1.0
58,0.5764331206394608,0.7265853350329551,6.827091374974342,0.5764331206394608,1.0
59,0.5764331213987557,0.7274715437251291,6.827091423569212,0.5764331213987557,1.0
